Zeitstempel,"Ich bin mir bewusst dass im Rahmen dieser Studie der TH Köln personenbezogene Daten anonym erfasst und gespeichert werden. Alle personenbezogenen Daten werden gemäß den geltenden rechtlichen Bestimmungen (Paragraph 203 StGB) vor unbefugter Offenbarung strikt geschützt. Die Daten werden  nur  anonym,  ohne  die  Möglichkeit der Zuordnung der individuellen Ergebnisse zu den einzelnen Personen, ausgewertet. Ich habe die Erläuterungen der Untersuchung gelesen und erkläre mich bereit, an der Untersuchung teilzunehmen. Ich habe jederzeit das Recht, ohne weitere Angabe von Gründen, die Untersuchung abzubrechen, ohne dass mir daraus irgendwelche Nachteile entstehen.",Bitte geben Sie Ihr biologisches Geschlecht an:,Bitte geben Sie Ihr Alter an:,Welchen höchsten Bildungsabschluss haben Sie bisher erreicht?,"Welcher beruflichen oder (berufs-) qualifizierenden Tätigkeit (inklusive Studium, Ausbildung) gehen Sie derzeit nach?",Wie viel Sport treiben Sie pro Woche?,Welche Händigkeit besitzen Sie?,Seit wie vielen Jahren sprechen Sie Deutsch ?,Körperlich / Motorisch,Visuell,Psychisch,Wenn Sie eine Sehschwäche oder sonstige optische Einschränkungen haben :,Haben Sie Erfahrung mit der virtuellen Realität?,"Hatten Sie bereits an Studien/Experimenten/Demos teilgenommen, die in einer Form virtueller Realität (Head-Mounted-Display, CAVE, Körpertracking) oder immersiver (eintauchender) Darstellung stattgefunden haben ?","Sollten Sie auf die vorherige Frage mit ""Ja"" geantwortet haben, geben Sie bitte zudem die Anzahl der bereits absolvierten Erfahrungen an. ",Welches Endgerät nutzen Sie in dieser Studie?,In welchem Ausmaß benutzen Sie das Internet in Ihrem täglichen Leben? (Sehr häufig entspricht mehrere Stunden täglich).,In welchem Ausmaß benutzen Sie einen PC oder Laptop in Ihrem täglichen Leben? (Sehr häufig entspricht mehrere Stunden täglich).,"In welchem Ausmaß spielen Sie Videospiele auf dem Handy, einer Konsole oder am PC? (Sehr häufig entspricht mehrere Stunden täglich).",In welchem Außmaß nutzen Sie ein VR-Headset?(Sehr häufig entspricht mehrere Stunden täglich)
2020/10/24 5:29:36 PM MEZ,Ich habe die Datenschutz- und Einverständniserklärung gelesen und stimme diesen zu.,Männlich,27,Abgeschlossenes Studium,Ich gehe derzeit keiner Tätigkeit nach,Eine halbe Stunde,Rechtshänder,Muttersprache,,,,,Ja,Nein,,Oculus Rift,7,7,7,4
2020/10/24 5:30:29 PM MEZ,Ich habe die Datenschutz- und Einverständniserklärung gelesen und stimme diesen zu.,Weiblich,25,Abgeschlossenes Studium,Ich bin Student/in,Eine Stunde,Rechtshänder,Muttersprache,,,,,Ja,Nein,,Oculus Rift,7,6,1,1
2020/10/24 5:34:09 PM MEZ,Ich habe die Datenschutz- und Einverständniserklärung gelesen und stimme diesen zu.,Männlich,38,Abgeschlossenes Studium,Ich bin Angestellte/r,Drei oder mehr Stunden,Rechtshänder,Muttersprache,,Kurzsichtig ,,Beidseitig - 5.25 Tageslinsen,Ja,Nein,,Sonstiges,7,4,2,5
2020/10/25 6:40:54 PM MEZ,Ich habe die Datenschutz- und Einverständniserklärung gelesen und stimme diesen zu.,Männlich,27,Abgeschlossenes Studium,Rechtsreferendar ggf. Auszubildender,Drei oder mehr Stunden,Rechtshänder,Muttersprache,,Kurzsichtigkeit,,"links 1; rechts 1,25; keine Sehhilfe",Nein,Nein,,Oculus Rift,7,7,2,1
2020/10/25 6:42:06 PM MEZ,Ich habe die Datenschutz- und Einverständniserklärung gelesen und stimme diesen zu.,Weiblich,26,Abitur / Allgemeine Hochschulreife,Ich bin Student/in,Drei oder mehr Stunden,Rechtshänder,Muttersprache,,,,,Nein,Nein,,Oculus Rift,5,3,2,1
2020/10/25 6:46:10 PM MEZ,Ich habe die Datenschutz- und Einverständniserklärung gelesen und stimme diesen zu.,Männlich,27,Abgeschlossenes Studium,Ich bin Student/in,Drei oder mehr Stunden,Rechtshänder,5 Jahre,,,,,Nein,Nein,,Oculus Rift,2,4,1,1
2020/10/26 7:21:11 PM MEZ,Ich habe die Datenschutz- und Einverständniserklärung gelesen und stimme diesen zu.,Männlich,47,Abitur / Allgemeine Hochschulreife,Ich bin Selbstständige/r,Zwei Stunden,Rechtshänder,Muttersprache,keine,keine,keine,"0.5 links, 0.7 rechts, in VR keine Brille",Ja,Ja,10 und mehr,Oculus Rift,7,7,3,6
2020/10/26 7:22:56 PM MEZ,Ich habe die Datenschutz- und Einverständniserklärung gelesen und stimme diesen zu.,Weiblich,28,Abgeschlossenes Studium,Ich bin Angestellte/r,Zwei Stunden,Rechtshänder,Muttersprache,,,,"-1,7 - nein, Experiment ohne Sehhilfe (Brille) ",Ja,Ja,3,Oculus Rift,7,7,1,1
2020/10/26 7:27:01 PM MEZ,Ich habe die Datenschutz- und Einverständniserklärung gelesen und stimme diesen zu.,Weiblich,30,Abgeschlossenes Studium,Ich bin Student/in,Eine Stunde,Rechtshänder,Muttersprache,,,,,Nein,Ja,2,Sonstiges,6,6,1,1
2020/10/28 6:29:45 PM MEZ,Ich habe die Datenschutz- und Einverständniserklärung gelesen und stimme diesen zu.,Männlich,33,Abgeschlossenes Studium,Ich bin Angestellte/r,Eineinhalb Stunden,Rechtshänder,Muttersprache,,,,,Ja,Nein,,HTC Vive,7,7,5,2
2020/10/28 6:34:08 PM MEZ,Ich habe die Datenschutz- und Einverständniserklärung gelesen und stimme diesen zu.,Weiblich,30,Abgeschlossenes Studium,Ich bin Angestellte/r,Drei oder mehr Stunden,Rechtshänder,Muttersprache,,,,,Nein,Nein,,Oculus Rift,7,7,1,1
